scenario,test_session,test_drone,test_rate,ref_kind,condition,filter_mode,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,1,6,2718,27.289001941680908,1.2983296630114864,4.946828265310939,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,2,7,2760,27.710083961486816,1.5492234991222062,8.163550337900022,0.04673913043478261
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,3,8,2585,25.9531888961792,1.5420523760415108,6.219720192911357,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,4,9,2567,25.754998922348022,0.9802980957836667,3.8842795281335802,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,5,10,2549,25.623039960861206,1.7547767611083032,5.616422393140124,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,6,11,2703,27.15173602104187,3.0338130478384784,42.268003403164364,0.12134665186829449
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,7,12,2401,24.16984510421753,1.738994080124229,7.519117773156694,0.028321532694710536
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,8,13,2633,26.441177129745483,2.0013294030119084,9.837935696848485,0.034181541967337636
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,9,14,2611,26.210068941116333,2.4888932565199298,59.7361329004292,0.1639218690157028
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,1,6,2718,27.289001941680908,1.2528794187743095,4.933412858077768,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,2,7,2760,27.710083961486816,1.5046178696885377,6.32157656139883,0.04782608695652174
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,3,8,2585,25.9531888961792,1.4877541859061623,5.617435164293499,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,4,9,2567,25.754998922348022,1.048470042094209,3.400369572895067,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,5,10,2549,25.623039960861206,1.7111220186666287,4.526693943572819,0.0
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,6,11,2703,27.15173602104187,3.32097697965105,60.734180498762335,0.1701812800591935
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,7,12,2401,24.16984510421753,1.6631804000418597,5.993314412041997,0.022490628904623073
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,8,13,2633,26.441177129745483,2.009881113713874,10.116070669091899,0.016710976072920623
s003_holdout,MT_s003,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,9,14,2611,26.210068941116333,2.706939200140141,78.21819660599652,0.16775181922635005
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,1,1,2992,30.046236038208008,7.33966284530122,77.71668439097677,0.4207887700534759
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,2,2,2771,27.847700834274292,2.6402403372964187,34.08566084191928,0.16600505232767954
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,3,3,2835,28.523182153701782,4.826911499199994,99.49327010488915,0.4211640211640212
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,4,4,2777,27.967777967453003,2.1658599577414464,14.723507252628613,0.09902772776377386
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,5,5,2888,28.98906898498535,2.7511491783440185,67.24763908514632,0.1956371191135734
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,6,6,2718,27.289001941680908,2.367237005655559,11.9122318566434,0.0717439293598234
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,7,7,2760,27.710083961486816,2.3704074434296913,18.5342146226962,0.12246376811594203
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,8,8,2585,25.9531888961792,1.9196779000672564,7.443797537012623,0.028239845261121856
